domain,file,relPath,extends_AbstractBusinessTool,has_doExecute,factoryId_in_signature,factoryId_ref_count,suspicious_count,risk,reason
material,BatchConsumptionAdjustTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/BatchConsumptionAdjustTool.java,true,true,true,2,1,MEDIUM,"存在 1 条可疑模式需人工复核"
material,BatchConsumptionQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/BatchConsumptionQueryTool.java,true,true,true,1,1,MEDIUM,"存在 1 条可疑模式需人工复核"
camera,CameraStatusTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/camera/CameraStatusTool.java,true,true,true,3,1,MEDIUM,"存在 1 条可疑模式需人工复核"
camera,CameraSubscribeTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/camera/CameraSubscribeTool.java,true,true,true,4,2,MEDIUM,"存在 2 条可疑模式需人工复核"
dataop,ColdChainQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/dataop/ColdChainQueryTool.java,true,true,true,3,1,MEDIUM,"存在 1 条可疑模式需人工复核"
system,ContextContinueTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/ContextContinueTool.java,true,true,true,1,1,MEDIUM,"存在 1 条可疑模式需人工复核"
crm,OrderQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/crm/OrderQueryTool.java,true,true,true,3,1,MEDIUM,"存在 1 条可疑模式需人工复核"
system,PaginationNextTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/PaginationNextTool.java,true,true,true,1,1,MEDIUM,"存在 1 条可疑模式需人工复核"
scale,ScaleAddModelTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/scale/ScaleAddModelTool.java,true,true,true,1,1,MEDIUM,"存在 1 条可疑模式需人工复核"
scale,ScaleDeviceDetailTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/scale/ScaleDeviceDetailTool.java,true,true,true,4,2,MEDIUM,"存在 2 条可疑模式需人工复核"
shipment,ShipmentDeleteTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/shipment/ShipmentDeleteTool.java,true,true,true,2,1,MEDIUM,"存在 1 条可疑模式需人工复核"
report,SkuGrossMarginTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/report/SkuGrossMarginTool.java,true,true,true,1,1,MEDIUM,"存在 1 条可疑模式需人工复核"
shipment,TracePublicTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/shipment/TracePublicTool.java,true,true,true,2,1,MEDIUM,"存在 1 条可疑模式需人工复核"
